"file name","direction","verb","cause","effect","sent"
"RJF_4_2016_11_22.txt","reverse","affected by","economic conditions","bank","in addition, such factors could adversely affect the value of the municipal securities we hold in our trading securities portfolio.rj bank is particularly affected by economic conditions in north america."
"RJF_4_2016_11_22.txt","reverse","affected by","changes","market risk.we","a credit rating downgrade would also result in rjf incurring a higher commitment fee on any unused balance on its $300 million revolving credit facility executed on august 6, 2015, in addition to triggering a higher interest rate applicable to any borrowings outstanding on the line as of and subsequent to such downgrade (see note 15 of the notes to consolidated financial statements in this form 10-k for information on this revolving credit facility).we are exposed to market risk.we are, directly and indirectly, affected by changes in market conditions."
"RJF_4_2016_11_22.txt","reverse","affected by","changes","revenues","market risk generally represents the risk that values of assets and liabilities or revenues will be adversely affected by changes in market conditions."
"RJF_4_2016_11_22.txt","forward","result in","certain derivative contracts","trading losses","deterioration in the actual or perceived credit quality of the underlying issuers of securities or loans, or the non-performance of issuers and counterparties to certain derivative contracts could result in trading losses."
"RJF_4_2016_11_22.txt","forward","result in","some","material litigation","some of these claims may result in material litigation."
"RJF_4_2016_11_22.txt","forward","result in","associates","substantial liability","unauthorized or illegal acts of our associates could result in substantial liability."
"PLD_10_2011_02_18.txt","forward","result in","other similar regulations","substantial costs","compliance or failure to comply with the americans with disabilities act and other similar regulations could result in substantial costs."
"DXCM_5_2016_02_23.txt","forward","result in","a high degree","substantial losses","we continue to investigate the presence of conflict materials within our supply chain.risks related to our common stock our stock price is highly volatile and investing in our stock involves a high degree of risk, which could result in substantial losses for investors."
"HCA_8_2013_02_27.txt","forward","result in","other payment systems","reduced medicare payments","for example, we estimate that proposed changes to the distribution of medicare dsh payments as a result of the health reform law will reduce medicare dsh payments to our hospitals in the aggregate by approximately $200 million in federal fiscal year 2014. further, from time to time, cms revises the reimbursement systems used to reimburse health care providers, including changes to the ms-drg system and other payment systems, which may result in reduced medicare payments."
"IFF_4_2017_02_28.txt","forward","result in","d costs","increased revenue","furthermore, there may be significant lag times from the time we incur r&d costs to the time that these r&d costs may result in increased revenue."
"IFF_4_2017_02_28.txt","forward","result in","the spending","capital spending","the spending associated with these projects may result in capital spending above previous expectations."
"CCI_9_2012_02_13.txt","reverse","affected by","any slowdown","wireless infrastructure","you should carefully consider all of the risks described below, as well as the other information contained in this document, when evaluating your investment in our securities.our business depends on the demand for wireless communications and wireless infrastructure, and we may be adversely affected by any slowdown in such demand."
"CCI_9_2012_02_13.txt","forward","result in","indebtedness","a default","failure to refinance indebtedness when required could result in a default under such indebtedness."
"AMP_7_2014_02_27.txt","reverse","affected by","these conditions","claims","it is difficult to predict when, how long and to what extent the aforementioned adverse conditions may exist, which of our markets, products and businesses will be directly affected in terms of revenues, management fees and investment valuations and earnings, and to what extent our clients may seek to bring claims arising out of investment performance that is affected by these conditions."
"AMP_7_2014_02_27.txt","forward","result in","those funds","a loss","moreover, if our money market funds experience a decline in market value, we may choose to contribute capital to those funds without consideration, which would result in a loss."
"AMP_7_2014_02_27.txt","forward","result in","increases","extension","also, increases in market interest rates may result in extension of certain cash flows from structured mortgage assets."
"AMP_7_2014_02_27.txt","forward","result in","the prices","realized investment losses","these withdrawals and surrenders may require investment assets to be sold at a time when the prices of those assets are lower because of the increase in market interest rates, which may result in realized investment losses."
"AMP_7_2014_02_27.txt","forward","brought on","some","behalf","some of these proceedings have been brought on behalf of various alleged classes of complainants."
"AMP_7_2014_02_27.txt","forward","result in","any resulting litigation","significant liability","any such claims and any resulting litigation could result in significant liability for damages."
"DRI_5_2015_07_24.txt","forward","result in","those neighborhoods","reduced sales","possible declines in neighborhoods where our restaurants are located or adverse economic conditions in areas surrounding those neighborhoods could result in reduced sales in those locations."
"HSY_7_2014_02_21.txt","forward","result in","product sizes","a reduction","We may be able to pass some or all raw material, energy and other input cost increases to customers by increasing the selling prices of our products or decreasing the size of our products; however, higher product prices or decreased product sizes may also result in a reduction in sales volume and/or consumption."
"HST_4_2017_02_24.txt","forward","result in","all","conflicts","in addition, our hotel managers or their affiliates manage, and in some cases own, have invested in, or provided credit support or operating guarantees, to hotels that compete with our hotels, all of which may result in conflicts of interest."
"HST_4_2017_02_24.txt","forward","result in","hotel properties","conflicts","we may acquire hotel properties through joint ventures with third parties that could result in conflicts."
"JCI_4_2016_11_23.txt","reverse","affected by","downturns","services","if our access to capital were to become significantly constrained, or if costs of capital increased significantly due to lowered credit ratings, prevailing industry conditions, the volatility of the capital markets or other factors; then our financial condition, results of operations and cash flows could be adversely affected.some of the industries in which we operate are cyclical and, accordingly, demand for our products and services could be adversely affected by downturns in these industries."
"JCI_4_2016_11_23.txt","reverse","affected by","unseasonable weather conditions","automotive replacement batteries","for example, the demand for our products and services, such as residential air conditioning equipment and automotive replacement batteries, may be affected by unseasonable weather conditions."
"JCI_4_2016_11_23.txt","reverse","caused by","an insured loss","losses","we maintain property damage insurance that we believe to be adequate to provide for reconstruction of facilities and equipment, as well as business interruption insurance to mitigate losses resulting from any production interruption or shutdown caused by an insured loss."
"JCI_4_2016_11_23.txt","forward","result in","corporate initiatives","increased turnover","organizational and reporting changes resulting from the merger and the spin-off of the automotive experience business (""separation""), or as a result of any future leadership transition or corporate initiatives could result in increased turnover."
"JCI_4_2016_11_23.txt","forward","result in","the application","significant additional u.s. tax liability","in such case, the application of such rules could result in significant additional u.s. tax liability."
"SPG_10_2011_02_25.txt","forward","result in","the interpretation thereof )","environmental liabilities","however, we cannot assure you that:    •existing environmental studies with respect to the portfolio reveal all potential environmental liabilities;   •any previous owner, occupant or tenant of a property did not create any material environmental condition not known to us;   •the current environmental condition of the portfolio will not be affected by tenants and occupants, by the condition of nearby properties, or by other unrelated third parties; or   9          •future uses or conditions (including, without limitation, changes in applicable environmental laws and regulations or the interpretation thereof) will not result in environmental liabilities."
"BMY_6_2015_02_13.txt","forward","result in","marketed products","a negative impact","Product labeling changes for our marketed products could result in a negative impact on revenues."
"AMP_11_2010_02_24.txt","forward","result in","increases","extension","also, increases in market interest rates may result in extension of certain cash flows from structured mortgage assets."
"AMP_11_2010_02_24.txt","forward","result in","the prices","realized investment losses","these withdrawals and surrenders may require investment assets to be sold at a time when the prices of those assets are lower because of the increase in market interest rates, which may result in realized investment losses."
"AMP_11_2010_02_24.txt","forward","result in","the funds","a loss","this decline could cause us to contribute capital to the funds without consideration, which would result in a loss."
"AMP_11_2010_02_24.txt","reverse","caused by","the downgrade","negative perception","additionally, we could be adversely affected by a general, negative perception of financial institutions caused by the downgrade of other financial institutions."
"AMP_11_2010_02_24.txt","forward","brought on","some","behalf","some of these proceedings have been brought on behalf of various alleged classes of complainants."
"AMP_11_2010_02_24.txt","forward","result in","any resulting litigation","significant liability","any such claims and any resulting litigation could result in significant liability for damages."
"AON_9_2012_02_24.txt","reverse","affected by","layoffs","employee benefit plans","in addition, our revenues from many of our outsourcing contracts depend upon the number of our clients' employees or the number of participants in our clients' employee benefit plans and could be adversely affected by layoffs."
"AON_9_2012_02_24.txt","reverse","affected by","an unfavorable resolution","annual period","it is possible that future statements of financial position, results of operations or cash flows for any particular quarterly or annual period could be materially affected by an unfavorable resolution of these matters."
"AON_9_2012_02_24.txt","reverse","affected by","the disaster","an economic downturn","the continued threat of terrorism and ongoing military actions may cause significant volatility in global financial markets, and a natural or man-made disaster could trigger an economic downturn in the areas directly or indirectly affected by the disaster."
"AON_9_2012_02_24.txt","reverse","affected by","changes","results","our results may be adversely affected by changes in the mode of compensation in the insurance industry."
"AON_9_2012_02_24.txt","forward","result in","the merger","a breach","if we are not successful in amending or waiving certain provisions of our bank credit facilities, the merger may result in a breach of certain provisions of these facilities."
"ALL_5_2016_02_19.txt","reverse","affected by","catastrophes","supplies","changes in homeowners claim severity are driven by inflation in the construction industry, building materials and home furnishings, changes in the mix of loss type, and by other economic and environmental factors, including short-term supply imbalances for services and supplies in areas affected by catastrophes."
"SPG_5_2016_02_26.txt","forward","result in","the interpretation thereof )","environmental liabilities","however, we cannot assure you that:   • previous environmental studies with respect to the portfolio reveal all potential environmental liabilities;   • any previous owner, occupant or tenant of a property did not create any material environmental condition not known to us;   • the current environmental condition of the portfolio will not be affected by tenants and occupants, by the condition of nearby properties, or by other unrelated third parties; or  • future uses or conditions (including, without limitation, changes in applicable environmental laws and regulations or the interpretation thereof) will not result in environmental liabilities."
"EXR_4_2017_02_27.txt","forward","result in","any non-complying feature","substantial capital expenditures","noncompliance with the ada could result in the imposition of fines or an award of damages to private litigants and also could result in an order to correct any non-complying feature, which could result in substantial capital expenditures."
"FIS_6_2015_02_27.txt","forward","result in","unfavorable future tax law changes","these negative impacts","unfavorable future tax law changes could also result in these negative impacts."
"PSA_9_2012_02_27.txt","reverse","caused by","a terrorist attack","insurance coverage","Further, we may not have insurance coverage for losses caused by a terrorist attack."
"LYB_3_2018_02_22.txt","forward","result in","energy","increased operating expenses","costs and limitations on supply of raw materials and energy may result in increased operating expenses."
"LYB_3_2018_02_22.txt","forward","result in","possible","reduced operating results","it is possible that fluctuations in exchange rates will result in reduced operating results."
"LYB_3_2018_02_22.txt","reverse","affected by","the scheme","plants","we expect to incur additional costs for the ets iii period, despite the allowance surplus accrued over the ets ii period, as allowance allocations have been reduced for the ets iii period and more of our plants are affected by the scheme."
"ZION_9_2012_02_29.txt","reverse","affected by","adverse economic conditions","the company","the following list describes several risk factors which are significant to the company including but not limited to:  the company has been and could continue to be negatively affected by adverse economic conditions."
"ZION_9_2012_02_29.txt","reverse","affected by","market conditions","liquidity","16      our ability to maintain required capital levels and adequate sources of funding and liquidity has been and may continue to be adversely affected by market conditions."
"ZION_9_2012_02_29.txt","reverse","affected by","unfavorable rating actions","securities","we and/or the holders of our securities could be adversely affected by unfavorable rating actions from rating agencies."
"ZION_9_2012_02_29.txt","forward","result in","failure","the loss","failure to comply with the terms of the agreements could result in the loss of indemnification from the fdic."
"EW_6_2015_02_20.txt","forward","result in","incorrect information","significant civil monetary penalties","failure to submit required information or submitting incorrect information may result in significant civil monetary penalties."
"EW_6_2015_02_20.txt","forward","result in","safety regulations","substantial costs","our operations are subject to environmental, health, and safety regulations that could result in substantial costs."
"GIS_10_2010_07_09.txt","reverse","affected by","a number","time","consumer preferences change from time to time and can be affected by a number of different trends."
"GIS_10_2010_07_09.txt","forward","result in","businesses","significant impairment losses","while we currently believe that our goodwill is not impaired, different assumptions regarding the future performance of our businesses could result in significant impairment losses."
"DFS_3_2018_02_21.txt","reverse","affected by","any","results","our business, financial condition, cash flows and/or results of operations could be materially adversely affected by any of these risks."
"DFS_3_2018_02_21.txt","forward","result in","the competitive intensity","a continued increase","since 2013 our rewards rate, which represents rewards cost divided by discover card sales volume, has increased from less than 1% to 1.24% in 2017. we expect the competitive intensity in the rewards space to continue, which could result in a continued increase in the rewards rate."
"DFS_3_2018_02_21.txt","forward","result in","illiquid","financial distress","we may maintain too much liquidity, which can be costly and limit financial flexibility, or we may be too illiquid, which could result in financial distress during a liquidity stress event."
"CTL_11_2010_03_01.txt","forward","result in","dependent","material revenue reductions","The majority of our revenues are substantially dependent upon regulations which, if changed, could result in material revenue reductions."
"HCA_6_2015_02_26.txt","forward","result in","other payment systems","reduced medicare payments","further, from    39       time to time, cms revises the reimbursement systems used to reimburse health care providers, including changes to the ms-drg system and other payment systems, which may result in reduced medicare payments."
"BAC_9_2012_02_23.txt","forward","resulted in","these developments","an increase","these developments have resulted in an increase in claims outstanding  from the gses."
"BAC_9_2012_02_23.txt","reverse","affected by","changes","revenues","in addition, as new and more complex derivatives products have been created, covering a wider array of underlying credit and other instruments, disputes about the terms of the underlying contracts may arise, which could impair our ability to effectively manage our risk exposures from these products and subject us to increased costs.for additional information on our derivatives exposure, see note 4 derivatives to the consolidated financial statements.market riskmarket risk is the risk that values of assets and liabilities or revenues will be adversely affected by changes in market conditions such as market volatility."
"BAC_9_2012_02_23.txt","reverse","affected by","any such downgrade","bank","it is foreseeable that the ratings and perceived creditworthiness of instruments issued, insured or guaranteed by institutions, agencies or instrumentalities directly linked to the u.s. government could also be correspondingly 12 bank of america 2011   affected by any such downgrade."
"IDXX_2_2019_02_15.txt","forward","result in","any termination","increased competition","while we maintain a rigorous distribution compliance program, violations of anti-corruption or similar laws by our distributors could have a material impact on our business and reputation, and any termination of a distributor relationship may result in increased competition in the applicable jurisdiction."
"COO_10_2010_12_17.txt","reverse","affected by","similar systemic impacts","foreign countries","foreign countries are affected by similar systemic impacts."
"COO_10_2010_12_17.txt","reverse","affected by","this new tax","csi","the recently enacted health care and education reconciliation act of 2010 imposes a new excise tax on medical device companies starting with u.s. domestic sales made after december 31, 2012. while cvi is not affected, csi will likely be affected by this new tax."
"HLT_2_2019_02_13.txt","forward","result in","interpretation","disagreements","our management and franchise contracts require us and our hotel owners to comply with operational and performance conditions that are subject to interpretation and could result in disagreements."
"HLT_2_2019_02_13.txt","forward","result in","repairs","improved performance","there can be no assurance that our planned replacements and repairs will occur, or even if completed, will result in improved performance."
"HLT_2_2019_02_13.txt","forward","result in","other assets","losses","in some circumstances, sales of properties or other assets may result in losses."
"HLT_2_2019_02_13.txt","forward","result in","costly","the loss","defending against any such proceedings may be costly, and if unsuccessful, could result in the loss of important intellectual property rights."
"HLT_2_2019_02_13.txt","forward","result in","noncompliance","the revocation","28casinos featured within certain of our properties are subject to gaming laws, and noncompliance could result in the revocation of the gaming licenses."
"HLT_2_2019_02_13.txt","forward","resulted in","a number","the payment","a number of these lawsuits have resulted in the payment of substantial damages by the defendants."
"LUV_7_2014_02_04.txt","forward","result in","costs","a decrease","businesses are able to forego air travel by using communication alternatives such as videoconferencing and the internet or may be more likely to purchase less expensive tickets to reduce costs, which can result in a decrease in average revenue per seat."
"LUV_7_2014_02_04.txt","forward","result in","strong","effective hedges","this is primarily due to the fact that the correlation between wti crude oil prices and jet fuel prices during recent periods has not been as strong as in the past, and therefore the company can no longer demonstrate that derivatives based on wti crude oil prices will result in effective hedges on a prospective basis."
"MA_10_2011_02_24.txt","reverse","affected by","such regulations","mastercard","in particular, many of our customers are subject to regulations applicable to banks and other financial institutions in the united states and abroad, and, consequently, mastercard is at times affected by such regulations."
"JNPR_4_2017_02_24.txt","forward","resulted in","quality issues","delays","for example, from time to time, we have experienced component shortages or quality issues that resulted in delays of product shipments and/or warranty claims."
"JNPR_4_2017_02_24.txt","forward","result in","an event","an acceleration","a failure to comply with these restrictions could lead to an event of default, which could result in an acceleration of the indebtedness."
"RMD_5_2015_08_07.txt","forward","result in","products","substantial penalties","off-label marketing of our products could result in substantial penalties."
"AIG_5_2016_02_19.txt","forward","result in","difficult","significant losses","Employee error and misconduct may be difficult to detect and prevent and may result in significant losses."
"JPM_8_2013_02_28.txt","reverse","affected by","changes","contractual obligations","periods of illiquidity could produce losses if the firm is unable to realize the fair value of collateral or manage declines in the value of collateral.concentration of credit and market risk could increase the potential for significant losses.jpmorgan chase has exposure to increased levels of risk when customers are engaged in similar business activities or activities in the same geographic region, or when they have similar economic features that would cause their ability to meet contractual obligations to be similarly affected by changes in economic conditions."
"FTV_4_2017_02_28.txt","forward","result in","the subject","loss","government contracts that have been awarded to us following a bid process could become the subject of a bid protest by a losing bidder, which could result in loss of the contract."
"FTV_4_2017_02_28.txt","forward","result in","weakening","unfavorable translation effects","sales and expenses of our non-u.s. businesses are also translated into u.s. dollars for reporting purposes and the strengthening or weakening of the u.s. dollar could result in unfavorable translation effects."
"FTV_4_2017_02_28.txt","forward","result in","the functional currency","unfavorable exchange rate effects","in addition, certain of our businesses may transact in a currency other than the business’ functional currency, and movements in the transaction currency relative to the functional currency could also result in unfavorable exchange rate effects."
"INCY_8_2013_02_21.txt","forward","result in","trial","significant additional expenditures","even if we were able to find another company to perform a preclinical test or clinical trial, the delay in the test or trial may result in significant additional expenditures."
"INCY_8_2013_02_21.txt","forward","result in","drug candidates","delays","for example, the fda has in the past required and could in the future require that we conduct additional trials of any of our drug candidates, which would result in delays."
"INCY_8_2013_02_21.txt","reverse","affected by","recent healthcare reform legislation","other third-party payors","our ability to generate revenues will be diminished if we are unable to obtain an adequate level of reimbursement from private insurers, government insurance programs or other third-party payors of health care costs, which could be affected by recent healthcare reform legislation."
"INCY_8_2013_02_21.txt","forward","result in","revenues","revenues","if we are unable to achieve milestones, develop products or renew or enter into new collaborations, our revenues may decrease, and future milestone and royalty payments may not contribute significantly to revenues for several years, and may never result in revenues."
"INCY_8_2013_02_21.txt","forward","result in","patent applications","issued patents","in addition, while we have filed numerous patent applications with respect to our drug candidates in the united states and in foreign countries, our patent applications may fail to result in issued patents."
"INCY_8_2013_02_21.txt","forward","result in","collaborators","loss","successful challenges to our patent or other intellectual property rights through these proceedings could result in a loss of rights in the relevant jurisdiction and allow third parties to use our proprietary technologies without a license from us or our collaborators, which may also result in loss of future royalty payments."
"MET_7_2014_02_27.txt","forward","result in","the prices","realized investment losses","this process may result in cash outflows requiring that we sell investments at a time when the prices of those investments are adversely affected by the increase in market interest rates, which may result in realized investment losses."
"MET_7_2014_02_27.txt","reverse","affected by","dodd-frank","insurance operations","other aspects of our insurance operations could also be affected by dodd-frank."
"MET_7_2014_02_27.txt","forward","result in","the liability valuation","a reduction","if the currency upon which expected future payments are made strengthens, the liability valuation may increase, which may result in a reduction of net income."
"AIV_4_2017_02_24.txt","forward","result in","any non-complying feature","substantial capital expenditures","noncompliance with these laws could result in the imposition of fines or an award of damages to private litigants and also could result in an order to correct any non-complying feature, which could result in substantial capital expenditures."
"JCI_5_2015_11_13.txt","forward","result in","successful","impairment charges","any acquisitions or investments may ultimately harm our business or financial condition, as such acquisitions may not be successful and may ultimately result in impairment charges."
"JCI_5_2015_11_13.txt","reverse","caused by","an insured loss","losses","we maintain property damage insurance that we believe to be adequate to provide for reconstruction of facilities and equipment, as well as business interruption insurance to mitigate losses resulting from any production interruption or shutdown caused by an insured loss."
"JCI_5_2015_11_13.txt","forward","result in","such products","significant unexpected costs","in addition, if any of our products prove to be defective, we may be required to recall or redesign such products, which could result in significant unexpected costs."
"TROW_7_2014_02_04.txt","reverse","affected by","changes","portfolios","investor interest in and the valuation of our fixed income investment funds and portfolios are affected by changes in interest rates."
"CDNS_9_2012_02_24.txt","forward","result in","technologies","reduced revenue","a rapid transition to different business models associated with cloud computing technologies could result in reduced revenue."
"ABC_9_2011_11_22.txt","reverse","affected by","qui tam litigation","results","our business and results of operations could be adversely affected by qui tam litigation."
"ABC_9_2011_11_22.txt","reverse","affected by","foreign operations","financial condition","our results of operations and our financial condition may be adversely affected by foreign operations."
"ABC_9_2011_11_22.txt","reverse","affected by","these initiatives","tax payments","there can be no assurance that our effective tax rate or tax payments will not be adversely affected by these initiatives."
"MO_2_2019_02_26.txt","forward","resulted in","these settlements","substantial cigarette price increases","these settlements, among other factors, resulted in substantial cigarette price increases."
"MO_2_2019_02_26.txt","reverse","affected by","an unfavorable outcome","business","we cannot predict whether new investigations may be commenced or the outcome of any such investigation, and it is possible that our business could be materially adversely affected by an unfavorable outcome of a future investigation."
"MO_2_2019_02_26.txt","forward","result in","investments","a definitive agreement","as a result, we may be unable to attract and retain the best talent.acquisitions or other events may adversely affect altria’s credit rating, and altria may not achieve its anticipated strategic or financial objectives of a transaction.from time to time, altria considers acquisitions or investments and may engage in confidential negotiations that are not publicly announced unless and until those negotiations result in a definitive agreement."
"NUE_7_2014_02_28.txt","reverse","affected by","competitive forces","business","depending on a variety of factors, including raw materials, energy, labor and capital costs, government control of currency exchange rates and government subsidies of foreign steel producers, our business may be materially adversely affected by competitive forces."
"NUE_7_2014_02_28.txt","reverse","affected by","changes","cash tax liability","our provision for income taxes and cash tax liability in the future could be adversely affected by changes in u.s. tax laws."
"NOV_9_2012_02_23.txt","reverse","caused by","waves","special devices","The riser consists of several sections of pipe and includes special devices to compensate for any movement of the drilling rig caused by waves."
"V_7_2013_11_22.txt","forward","result in","this","dilution","this in turn will result in dilution of the interest of holders of class a common stock."
"AFL_8_2013_02_27.txt","reverse","affected by","these developments","financial condition","as we hold in our investment portfolio a significant amount of fixed maturity and perpetual securities, including a large portion issued by banks and financial institutions, sovereigns and other corporate borrowers based throughout europe, our financial condition could be adversely affected by these developments."
"NOW_6_2015_02_27.txt","forward","result in","other unknown factors","increased costs","additionally, we may encounter unforeseen operating expenses, difficulties, complications, delays and other unknown factors that may result in increased costs."
"NOW_6_2015_02_27.txt","forward","resulted in","price","pricing pressures","some of our competitors offer their products or services at a lower price, which has resulted in pricing pressures."
"EA_11_2010_05_28.txt","forward","result in","these activities","losses","however, these activities are limited in the protection they provide us from foreign currency fluctuations and can themselves result in losses."
"EQR_6_2015_02_26.txt","reverse","affected by","these conditions","a decrease","while we have adopted programs designed to minimize the existence of mold in any of our properties as well as guidelines for promptly addressing and resolving reports of mold to minimize any impact mold might have on our residents or the property, should mold become an issue in the future, our financial condition or results of operations may be adversely affected.we cannot be assured that existing environmental assessments of our properties reveal all environmental liabilities, that any prior owner of any of our properties did not create a material environmental condition not known to us, or that a material environmental condition does not otherwise exist as to any of our properties.16 climate changeto the extent that climate change does occur, we may experience extreme weather and changes in precipitation and temperature, all of which may result in physical damage or a decrease in demand for properties located in these areas or affected by these conditions."
"EQR_6_2015_02_26.txt","forward","result in","liquidity","an increase","disruptions in the floating rate tax-exempt bond market (where interest rates reset weekly) and in the credit market's perception of the gses, which guarantee and provide liquidity for many of these bonds, have been experienced in the past and may be experienced in the future and could result in an increase in interest rates on these debt obligations."
"D_4_2017_02_28.txt","reverse","affected by","changes","results","the companies’ results of operations can be affected by changes in the weather."
"D_4_2017_02_28.txt","forward","result in","regulations","substantial additional expense","new laws or regulations, the revision or reinterpretation of existing laws or regulations, changes in enforcement practices of regulators, or penalties imposed for non-compliance with existing laws or regulations may result in substantial additional expense."
"DTE_8_2013_02_20.txt","reverse","affected by","numerous environmental regulations","subject","we are subject to and affected by numerous environmental regulations."
"WM_10_2011_02_17.txt","forward","result in","regulations","significant liabilities","our operations are subject to environmental, health and safety laws and regulations, as well as contractual obligations, that may result in significant liabilities."
"WM_10_2011_02_17.txt","reverse","affected by","price fluctuations","independent power production plants","additionally, revenues from our independent power production plants can be affected by price fluctuations."
"DLR_4_2017_03_01.txt","forward","result in","a particular transaction","revenue","as a result, the leasing of data center space can have a long sales cycle, and we may expend significant time and resources in pursuing a particular transaction that may not result in revenue."
"DLR_4_2017_03_01.txt","reverse","affected by","a downturn","cash available","we depend upon the local economic conditions in these areas, including local real estate conditions, and our operations, revenue and cash available for distribution could be materially adversely affected by a downturn in local economic conditions in these areas."
"DLR_4_2017_03_01.txt","forward","result in","loans","a cross default","further, our default under any one of our loans could result in a cross default on other indebtedness."
"HOG_10_2011_02_24.txt","reverse","affected by","these factors","a motorcycle","these factors have caused a weaker retail environment leading to weaker demand for discretionary purchases, and the decision to purchase a motorcycle has been and may continue to be affected by these factors."
"HOG_10_2011_02_24.txt","reverse","affected by","changes","earnings","earnings from the company’s financial services business are affected by changes in interest rates."
"RHI_11_2010_02_19.txt","reverse","affected by","foreign currency exchange fluctuations","the Company s business","In addition, the Company s business may be affected by foreign currency exchange fluctuations."
"CCL_9_2012_01_30.txt","forward","result in","ships","reduced profitability","finally, the lack of qualified shipyard repair facilities could result in the inability to repair and maintain our ships on a timely basis, which could also result in reduced profitability."
"IP_2_2019_02_20.txt","forward","result in","certain indebtedness","the acceleration","any such downgrade, suspension or withdrawal of our credit ratings could adversely affect our cost of borrowing, limit our access to the capital markets or result in more restrictive covenants in agreements governing the terms of any future indebtedness that we may incur.downgrades in the credit ratings of banks issuing certain letters of credit will increase our cost of maintaining certain indebtedness and may result in the acceleration of deferred taxes."
"IP_2_2019_02_20.txt","forward","result in","changes","increased pension costs","fluctuations in actual equity market returns, changes in general interest rates and changes in the number of retirees may result in increased pension costs in future periods."
"IP_2_2019_02_20.txt","reverse","stem from","such incidents","vendor information","theft of intellectual property or trade secrets, and inappropriate disclosure of confidential company, employee, customer or vendor information, could stem from such incidents."
"IPGP_10_2011_03_15.txt","forward","result in","operating margins","exchange losses","foreign currency transaction risk may negatively affect our net sales, cost of sales and operating margins and could result in exchange losses."
"IPGP_10_2011_03_15.txt","forward","resulted in","attractive","the unavailability","market disruptions such as those currently being experienced in the united states and abroad have materially impacted liquidity in the credit and debt markets, making financing terms for borrowers less attractive, and, in certain cases, have resulted in the unavailability of certain types of financing."
"VZ_10_2011_02_28.txt","reverse","affected by","any such litigation","business","we are unable to predict whether our business will be affected by any such litigation."
"CPB_5_2015_09_29.txt","forward","result in","packaging sizes","reductions","higher product prices or smaller packaging sizes may result in reductions in sales volume."
"MGM_4_2017_03_01.txt","forward","resulted in","demographic changes","recent growth","Consumer preferences also evolve over time due to a variety of factors, including demographic changes, which, for instance, have resulted in recent growth in consumer demand for non-gaming offerings."
"MGM_4_2017_03_01.txt","forward","result in","future U.S. operating profits","a material change","For example, a change to our forecasts of future profitability of and distributions from MGM China or a change in our assumptions concerning future U.S. operating profits could result in a material change in the valuation allowance with a corresponding impact on the provision for income taxes in such period."
"NFLX_11_2010_02_22.txt","forward","result in","other indebtedness","an event","any failure to comply with the restrictions of any agreement governing our other indebtedness may result in an event of default under those agreements."
"RMD_10_2010_08_17.txt","forward","result in","products","substantial penalties","off-label marketing of our products could result in substantial penalties."
"APD_9_2011_11_22.txt","forward","result in","changes","reduced profitability","compliance with laws and regulations may involve significant costs or require changes in business practice that could result in reduced profitability."
"APD_9_2011_11_22.txt","reverse","affected by","changes","financial results","financial results therefore will be affected by changes in foreign currency rates."
"APD_9_2011_11_22.txt","reverse","affected by","changes","fair values","accordingly, reported sales, net earnings, cash flows, and fair values have been and in the future will be affected by changes in foreign exchange rates."
