"verb","sentence"
"producing","natural disasters (including hurricanes or similar events in the u. s.  southeast and on the gulf coast where a significant portion of domestic refining capacity is located), political disruptions or wars involving oil-producing countries, economic sanctions imposed against oil-producing countries or specific industry participants, changes in fuel-related governmental policy, the strength of the u. s.  dollar against foreign currencies, changes in the cost to transport or store petroleum products, changes in access to petroleum product pipelines and terminals, speculation in the energy futures markets, changes in aircraft fuel production capacity, environmental concerns and other unpredictable events may result in fuel supply shortages, distribution challenges, additional fuel price volatility and cost increases in the future."
"related","natural disasters (including hurricanes or similar events in the u. s.  southeast and on the gulf coast where a significant portion of domestic refining capacity is located), political disruptions or wars involving oil-producing countries, economic sanctions imposed against oil-producing countries or specific industry participants, changes in fuel-related governmental policy, the strength of the u. s.  dollar against foreign currencies, changes in the cost to transport or store petroleum products, changes in access to petroleum product pipelines and terminals, speculation in the energy futures markets, changes in aircraft fuel production capacity, environmental concerns and other unpredictable events may result in fuel supply shortages, distribution challenges, additional fuel price volatility and cost increases in the future."
"transport","natural disasters (including hurricanes or similar events in the u. s.  southeast and on the gulf coast where a significant portion of domestic refining capacity is located), political disruptions or wars involving oil-producing countries, economic sanctions imposed against oil-producing countries or specific industry participants, changes in fuel-related governmental policy, the strength of the u. s.  dollar against foreign currencies, changes in the cost to transport or store petroleum products, changes in access to petroleum product pipelines and terminals, speculation in the energy futures markets, changes in aircraft fuel production capacity, environmental concerns and other unpredictable events may result in fuel supply shortages, distribution challenges, additional fuel price volatility and cost increases in the future."
"may","natural disasters (including hurricanes or similar events in the u. s.  southeast and on the gulf coast where a significant portion of domestic refining capacity is located), political disruptions or wars involving oil-producing countries, economic sanctions imposed against oil-producing countries or specific industry participants, changes in fuel-related governmental policy, the strength of the u. s.  dollar against foreign currencies, changes in the cost to transport or store petroleum products, changes in access to petroleum product pipelines and terminals, speculation in the energy futures markets, changes in aircraft fuel production capacity, environmental concerns and other unpredictable events may result in fuel supply shortages, distribution challenges, additional fuel price volatility and cost increases in the future."
"result","natural disasters (including hurricanes or similar events in the u. s.  southeast and on the gulf coast where a significant portion of domestic refining capacity is located), political disruptions or wars involving oil-producing countries, economic sanctions imposed against oil-producing countries or specific industry participants, changes in fuel-related governmental policy, the strength of the u. s.  dollar against foreign currencies, changes in the cost to transport or store petroleum products, changes in access to petroleum product pipelines and terminals, speculation in the energy futures markets, changes in aircraft fuel production capacity, environmental concerns and other unpredictable events may result in fuel supply shortages, distribution challenges, additional fuel price volatility and cost increases in the future."
"could","any of these factors or events could cause a disruption in oil production, refinery operations, pipeline capacity or terminal access and possibly result in significant increases in the price of aircraft fuel and diminished availability of aircraft fuel supply."
"result","any of these factors or events could cause a disruption in oil production, refinery operations, pipeline capacity or terminal access and possibly result in significant increases in the price of aircraft fuel and diminished availability of aircraft fuel supply."
"NONE","our aviation fuel purchase contracts generally do not provide meaningful price protection against increases in fuel costs."
"NONE","our current policy is not to enter into transactions to hedge our fuel consumption, although we review this policy from time to time based on market conditions and other factors."
"NONE","accordingly, as of december 31, 2018, we did not have any fuel hedging contracts outstanding."
"NONE","as such, and assuming we do not enter into any future transactions to hedge our fuel consumption, we will continue to be fully exposed to fluctuations in fuel prices."
"NONE","see also the discussion in part ii, item 7a."
"NONE","quantitative and qualitative disclosures about market risk “aircraft fuel."
"NONE","”the airline industry is intensely competitive and dynamic."
"NONE","our competitors include other major domestic airlines and foreign, regional and new entrant airlines, as well as joint ventures formed by some of these airlines, many of which have more financial or other resources and/or lower cost structures than ours, as well as other forms of transportation, including rail and private automobiles."
"NONE","in many of our markets we compete with at least one low-cost carrier (including so-called ultra-low cost carriers)."
"including","our revenues are sensitive to the actions of other carriers in many areas including pricing, scheduling, capacity, amenities, loyalty benefits and promotions, which can have a substantial adverse impact not only on our revenues, but on overall industry revenues."
"can","our revenues are sensitive to the actions of other carriers in many areas including pricing, scheduling, capacity, amenities, loyalty benefits and promotions, which can have a substantial adverse impact not only on our revenues, but on overall industry revenues."
"NONE","these factors may become even more significant in periods when the industry experiences large losses, as airlines under financial stress, or in bankruptcy, may institute pricing structures intended to achieve near-term survival rather than long-term viability."
"including","16low-cost carriers (including so-called ultra-low-cost carriers) have a profound impact on industry revenues."
"called","16low-cost carriers (including so-called ultra-low-cost carriers) have a profound impact on industry revenues."
"NONE","using the advantage of low unit costs, these carriers offer lower fares in order to shift demand from larger, more established airlines, and represent significant competitors, particularly for customers who fly infrequently and are price sensitive and tend not to be loyal to any one particular carrier."
"NONE","while historically these carriers have provided competition in domestic markets, we have recently experienced new competition from low-cost carriers on international routes."
"NONE","a number of these low-cost carriers have announced growth strategies including commitments to acquire significant numbers of new aircraft for delivery in the next few years."
"attempting","these low-cost carriers are attempting to continue to increase their market share through growth and, potentially, consolidation, and are expected to continue to have an impact on our revenues and overall performance."
"continue","these low-cost carriers are attempting to continue to increase their market share through growth and, potentially, consolidation, and are expected to continue to have an impact on our revenues and overall performance."
"increase","these low-cost carriers are attempting to continue to increase their market share through growth and, potentially, consolidation, and are expected to continue to have an impact on our revenues and overall performance."
"expected","these low-cost carriers are attempting to continue to increase their market share through growth and, potentially, consolidation, and are expected to continue to have an impact on our revenues and overall performance."
"continue","these low-cost carriers are attempting to continue to increase their market share through growth and, potentially, consolidation, and are expected to continue to have an impact on our revenues and overall performance."
"implemented","we and several other large network carriers have implemented “basic economy” fares designed to more effectively compete against low-cost carriers, but we cannot predict whether these initiatives will be successful or the competitive reaction of the low-cost carriers."
"designed","we and several other large network carriers have implemented “basic economy” fares designed to more effectively compete against low-cost carriers, but we cannot predict whether these initiatives will be successful or the competitive reaction of the low-cost carriers."
"compete","we and several other large network carriers have implemented “basic economy” fares designed to more effectively compete against low-cost carriers, but we cannot predict whether these initiatives will be successful or the competitive reaction of the low-cost carriers."
"can","we and several other large network carriers have implemented “basic economy” fares designed to more effectively compete against low-cost carriers, but we cannot predict whether these initiatives will be successful or the competitive reaction of the low-cost carriers."
"predict","we and several other large network carriers have implemented “basic economy” fares designed to more effectively compete against low-cost carriers, but we cannot predict whether these initiatives will be successful or the competitive reaction of the low-cost carriers."
"will","we and several other large network carriers have implemented “basic economy” fares designed to more effectively compete against low-cost carriers, but we cannot predict whether these initiatives will be successful or the competitive reaction of the low-cost carriers."
"NONE","competition is also increasing from low-cost airlines executing international long-haul expansion strategies, including, for example, icelandair, norwegian air shuttle and wow air."
"including","the actions of existing or future low-cost carriers, including those described above, could have a material adverse effect on our operations and financial performance."
"described","the actions of existing or future low-cost carriers, including those described above, could have a material adverse effect on our operations and financial performance."
"could","the actions of existing or future low-cost carriers, including those described above, could have a material adverse effect on our operations and financial performance."
"NONE","we provide air travel internationally, directly as well as through joint business, alliance, codeshare and similar arrangements to which we are a party."
"NONE","while our network is comprehensive, compared to some of our key global competitors, we generally have somewhat greater relative exposure to certain regions (for example, latin america) and somewhat lower relative exposures to others (for example, china and parts of asia)."
"NONE","our financial performance relative to our key competitors will therefore be influenced significantly by macro-economic conditions in particular regions around the world and the relative exposure of our network to the markets in those regions."
"NONE","in providing international air transportation, we compete to provide scheduled passenger and cargo service between the u. s.  and various overseas locations with u. s.  airlines, foreign investor-owned airlines and foreign state-owned or state-affiliated airlines."
"NONE","competition is increasing from foreign state-owned and state-affiliated airlines in the gulf region, including emirates, etihad airways and qatar airways."
"NONE","these carriers have large numbers of international widebody aircraft in service and on order and are increasing service to the u. s.  from locations both in and outside the middle east."
"NONE","service to and from locations outside of the middle east is provided by some of these carriers under so-called “fifth freedom” rights permitted under international treaties which allow service to and from stopover points between an airline’s home country and the ultimate destination."
"NONE","such flights, such as a stopover in europe on flights to the united states, allow the carrier to sell tickets for travel between the stopover point and the united states in competition with service provided by us."
"NONE","additionally, these carriers have made significant investments in a number of airlines located outside of the middle east, such as air italy, providing these affiliated airlines with capital and aircraft to permit increases in service that compete with us."
"NONE","we believe these state-owned and state-affiliated carriers in the gulf region, including their affiliated carriers, benefit from significant government subsidies, which have allowed them to grow quickly, reinvest in their product and expand their global presence."
"NONE","competition is also increasing from low-cost airlines executing international long-haul expansion strategies, including, for example, icelandair, norwegian air shuttle and wow air."
"NONE","our international service exposes us to foreign economies and the potential for reduced demand, such as we have recently experienced in venezuela, when any foreign country we serve suffers adverse local economic conditions."
"NONE","in addition, open skies agreements with an increasing number of countries around the world provide international airlines with open access to u. s.  markets, potentially subjecting us to increased competition on our international routes."
"see","see also “our business is subject to extensive government regulation, which may result in increases in our costs, disruptions to our operations, limits on our operating flexibility, reductions in the demand for air travel, and competitive disadvantages."
"may","see also “our business is subject to extensive government regulation, which may result in increases in our costs, disruptions to our operations, limits on our operating flexibility, reductions in the demand for air travel, and competitive disadvantages."
"result","see also “our business is subject to extensive government regulation, which may result in increases in our costs, disruptions to our operations, limits on our operating flexibility, reductions in the demand for air travel, and competitive disadvantages."
"NONE","”certain airline alliances, joint ventures and joint businesses have been, or may in the future be, granted immunity from antitrust regulations by governmental authorities for specific areas of cooperation, such as joint pricing decisions."
"formed","to the extent alliances formed by our competitors can undertake activities that are not available to us, our ability to effectively compete may be hindered."
"can","to the extent alliances formed by our competitors can undertake activities that are not available to us, our ability to effectively compete may be hindered."
"undertake","to the extent alliances formed by our competitors can undertake activities that are not available to us, our ability to effectively compete may be hindered."
"compete","to the extent alliances formed by our competitors can undertake activities that are not available to us, our ability to effectively compete may be hindered."
"may","to the extent alliances formed by our competitors can undertake activities that are not available to us, our ability to effectively compete may be hindered."
"hindered","to the extent alliances formed by our competitors can undertake activities that are not available to us, our ability to effectively compete may be hindered."
"NONE","our ability to attract and retain customers is dependent upon, among other things, our ability to offer our customers convenient access to desired markets."
"could","our business could be adversely affected if we are unable to maintain or obtain alliance and marketing relationships with other air carriers in desired markets."
"maintain","our business could be adversely affected if we are unable to maintain or obtain alliance and marketing relationships with other air carriers in desired markets."
"obtain","our business could be adversely affected if we are unable to maintain or obtain alliance and marketing relationships with other air carriers in desired markets."
"desired","our business could be adversely affected if we are unable to maintain or obtain alliance and marketing relationships with other air carriers in desired markets."
"NONE","american has established a transatlantic jba with british airways, iberia and finnair, and separately, a transpacific jba with japan airlines, each of which has been granted antitrust immunity."
"NONE","in october 2017, american and its transatlantic partners executed an amended and restated jba which, among other things, extends the term of the agreement."
"NONE","an application is pending with the dot to add aer lingus, which is now owned by the parent company of british airways and iberia, to the transatlantic jba."
"NONE","this relationship benefits from a grant of antitrust immunity from the dot and was reviewed by the ec in july 2010.  in connection with this review, we provided certain commitments to the ec regarding, among other things, the availability of take-off and landing slots at lhr or lgw airports."
"NONE","the commitments accepted by the ec are binding for 10 years with the possibility of renewal by the ec."
"NONE","however, in light of brexit and the related possibility that the ec would no 17longer have regulatory responsibility for the united kingdom when the commitments expire in july 2020, the united kingdom cma in october 2018 opened an investigation into the transatlantic jba."
"NONE","we are cooperating fully with the cma."
"NONE","also, we had previously signed a jba with qantas airways and in 2015, applied for antitrust immunity with the dot for the revised relationship, but we withdrew that application in november 2016 after it was tentatively denied by the dot."
"NONE","in february 2018, we filed a new application for antitrust immunity with the dot, which, if granted, would allow us to further expand our relationship with qantas airways."
"NONE","this jba has been approved by the competition law regulators in australia and new zealand."
"NONE","in addition, we have signed jbas with certain air carriers of the latam airlines group, which jbas have been approved in all jurisdictions other than the united states, where approval is pending."
"NONE","most recently, in november 2018, the court of free competition in chile approved the jba between american and latam airlines group with respect to both our passenger and cargo businesses."
"appealed","that decision has been appealed to the chilean supreme court."
"NONE","the foregoing arrangements are important aspects of our international network and we are dependent on the performance and continued cooperation of the other airlines party to those agreements."
"NONE","no assurances can be given as to any benefits that we may derive from such arrangements or any other arrangements that may ultimately be implemented, or whether or not regulators will continue to approve or impose material conditions on our business activities."
"NONE","additional mergers and other forms of industry consolidation, including antitrust immunity grants, may take place and may not involve us as a participant."
"NONE","depending on which carriers combine and which assets, if any, are sold or otherwise transferred to other carriers in connection with any such combinations, our competitive position relative to the post-combination carriers or other carriers that acquire such assets could be harmed."
"combine","in addition, as carriers combine through traditional mergers or antitrust immunity grants, their route networks will grow, and that growth will result in greater overlap with our network, which in turn could result in lower overall market share and revenues for us."
"will","in addition, as carriers combine through traditional mergers or antitrust immunity grants, their route networks will grow, and that growth will result in greater overlap with our network, which in turn could result in lower overall market share and revenues for us."
"grow","in addition, as carriers combine through traditional mergers or antitrust immunity grants, their route networks will grow, and that growth will result in greater overlap with our network, which in turn could result in lower overall market share and revenues for us."
"will","in addition, as carriers combine through traditional mergers or antitrust immunity grants, their route networks will grow, and that growth will result in greater overlap with our network, which in turn could result in lower overall market share and revenues for us."
"result","in addition, as carriers combine through traditional mergers or antitrust immunity grants, their route networks will grow, and that growth will result in greater overlap with our network, which in turn could result in lower overall market share and revenues for us."
"could","in addition, as carriers combine through traditional mergers or antitrust immunity grants, their route networks will grow, and that growth will result in greater overlap with our network, which in turn could result in lower overall market share and revenues for us."
"result","in addition, as carriers combine through traditional mergers or antitrust immunity grants, their route networks will grow, and that growth will result in greater overlap with our network, which in turn could result in lower overall market share and revenues for us."
"NONE","such consolidation is not limited to the u. s. , but could include further consolidation among international carriers in europe and elsewhere."
"NONE","additionally, our aadvantage loyalty program, which is an important element of our sales and marketing programs, faces significant and increasing competition from the loyalty programs offered by other travel companies, as well as from similar loyalty benefits offered by banks and other financial services companies."
"NONE","competition among loyalty programs is intense regarding the rewards, fees, required usage, and other terms and conditions of these programs."
"attract","these competitive factors affect our ability to attract and retain customers, increase usage of our loyalty program and maximize the revenue generated by our loyalty program."
"retain","these competitive factors affect our ability to attract and retain customers, increase usage of our loyalty program and maximize the revenue generated by our loyalty program."
"increase","these competitive factors affect our ability to attract and retain customers, increase usage of our loyalty program and maximize the revenue generated by our loyalty program."
"maximize","these competitive factors affect our ability to attract and retain customers, increase usage of our loyalty program and maximize the revenue generated by our loyalty program."
"evolving","evolving data security and privacy requirements could increase our costs, and any significant data security incident could disrupt our operations, harm our reputation, expose us to legal risks and otherwise materially adversely affect our business, results of operations and financial condition."
"could","evolving data security and privacy requirements could increase our costs, and any significant data security incident could disrupt our operations, harm our reputation, expose us to legal risks and otherwise materially adversely affect our business, results of operations and financial condition."
"increase","evolving data security and privacy requirements could increase our costs, and any significant data security incident could disrupt our operations, harm our reputation, expose us to legal risks and otherwise materially adversely affect our business, results of operations and financial condition."
"could","evolving data security and privacy requirements could increase our costs, and any significant data security incident could disrupt our operations, harm our reputation, expose us to legal risks and otherwise materially adversely affect our business, results of operations and financial condition."
"disrupt","evolving data security and privacy requirements could increase our costs, and any significant data security incident could disrupt our operations, harm our reputation, expose us to legal risks and otherwise materially adversely affect our business, results of operations and financial condition."
"harm","evolving data security and privacy requirements could increase our costs, and any significant data security incident could disrupt our operations, harm our reputation, expose us to legal risks and otherwise materially adversely affect our business, results of operations and financial condition."
"expose","evolving data security and privacy requirements could increase our costs, and any significant data security incident could disrupt our operations, harm our reputation, expose us to legal risks and otherwise materially adversely affect our business, results of operations and financial condition."
"NONE","our business requires the secure processing and storage of sensitive information relating to our customers, employees, business partners and others."
"NONE","however, like any global enterprise operating in today’s digital business environment, we are subject to threats to the security of our networks and data, including threats potentially involving criminal hackers, hacktivists, state-sponsored actors, corporate espionage, employee malfeasance, and human or technological error."
"NONE","these threats continue to increase as the frequency, intensity and sophistication of attempted attacks and intrusions increase around the world."
"NONE","we have been the target of cybersecurity attacks in the past and expect that we will continue to be in the future."
"NONE","furthermore, in response to these threats there has been heightened legislative and regulatory focus on data privacy and cybersecurity in the u. s. , the eu and elsewhere, particularly with respect to critical infrastructure providers, including those in the transportation sector."
"must","as a result, we must comply with a growing and fast-evolving set of legal requirements in this area, including substantive cybersecurity standards as well as requirements for notifying regulators and affected individuals in the event of a data security incident."
"comply","as a result, we must comply with a growing and fast-evolving set of legal requirements in this area, including substantive cybersecurity standards as well as requirements for notifying regulators and affected individuals in the event of a data security incident."
"growing","as a result, we must comply with a growing and fast-evolving set of legal requirements in this area, including substantive cybersecurity standards as well as requirements for notifying regulators and affected individuals in the event of a data security incident."
"evolving","as a result, we must comply with a growing and fast-evolving set of legal requirements in this area, including substantive cybersecurity standards as well as requirements for notifying regulators and affected individuals in the event of a data security incident."
"including","as a result, we must comply with a growing and fast-evolving set of legal requirements in this area, including substantive cybersecurity standards as well as requirements for notifying regulators and affected individuals in the event of a data security incident."
"notifying","as a result, we must comply with a growing and fast-evolving set of legal requirements in this area, including substantive cybersecurity standards as well as requirements for notifying regulators and affected individuals in the event of a data security incident."
"NONE","this regulatory environment is increasingly challenging and may present material obligations and risks to our business, including significantly expanded compliance burdens, costs and enforcement risks."
"referred","for example, in may 2018, the eu’s new general data protection regulation, commonly referred to as gdpr, came into effect, which imposes a host of new data privacy and security requirements, imposing significant costs on us and carrying substantial penalties for non-compliance."
"came","for example, in may 2018, the eu’s new general data protection regulation, commonly referred to as gdpr, came into effect, which imposes a host of new data privacy and security requirements, imposing significant costs on us and carrying substantial penalties for non-compliance."
"imposes","for example, in may 2018, the eu’s new general data protection regulation, commonly referred to as gdpr, came into effect, which imposes a host of new data privacy and security requirements, imposing significant costs on us and carrying substantial penalties for non-compliance."
"imposing","for example, in may 2018, the eu’s new general data protection regulation, commonly referred to as gdpr, came into effect, which imposes a host of new data privacy and security requirements, imposing significant costs on us and carrying substantial penalties for non-compliance."
"carrying","for example, in may 2018, the eu’s new general data protection regulation, commonly referred to as gdpr, came into effect, which imposes a host of new data privacy and security requirements, imposing significant costs on us and carrying substantial penalties for non-compliance."
"NONE","in addition, many of our commercial partners, including credit card companies, have imposed data security standards that we must meet."
"NONE","in particular, we are required by the payment card industry security standards council, founded by the credit card companies, to comply with their highest level of data security standards."
"NONE","while we continue our efforts to meet these standards, new and revised standards may be imposed that may be difficult for us to meet and could increase our costs."
"could","a significant cybersecurity incident could result in a range of potentially material negative consequences for us, including unauthorized access to, disclosure, modification, misuse, loss or destruction of company systems or data; theft of sensitive, regulated or confidential data, such as personal identifying information or our intellectual property; the loss of functionality 18of critical systems through ransomware, denial of service or other attacks; and business delays, service or system disruptions, damage to equipment and injury to persons or property."
"result","a significant cybersecurity incident could result in a range of potentially material negative consequences for us, including unauthorized access to, disclosure, modification, misuse, loss or destruction of company systems or data; theft of sensitive, regulated or confidential data, such as personal identifying information or our intellectual property; the loss of functionality 18of critical systems through ransomware, denial of service or other attacks; and business delays, service or system disruptions, damage to equipment and injury to persons or property."
"including","a significant cybersecurity incident could result in a range of potentially material negative consequences for us, including unauthorized access to, disclosure, modification, misuse, loss or destruction of company systems or data; theft of sensitive, regulated or confidential data, such as personal identifying information or our intellectual property; the loss of functionality 18of critical systems through ransomware, denial of service or other attacks; and business delays, service or system disruptions, damage to equipment and injury to persons or property."
"NONE","the methods used to obtain unauthorized access, disable or degrade service or sabotage systems are constantly evolving and may be difficult to anticipate or to detect for long periods of time."
"NONE","the constantly changing nature of the threats means that we may not be able to prevent all data security breaches or misuse of data."
"NONE","similarly, we depend on the ability of our key commercial partners, including our regional carriers, distribution partners and technology vendors, to conduct their businesses in a manner that complies with applicable security standards and assures their ability to perform on a timely basis."
"NONE","in addition, the costs and operational consequences of defending against, preparing for, responding to and remediating an incident of cybersecurity breach may be substantial."
"NONE","as cybersecurity threats become more frequent, intense and sophisticated, costs of proactive defense measures may increase."
"could","further, we could be exposed to litigation, regulatory enforcement or other legal action as a result of an incident, carrying the potential for damages, fines, sanctions or other penalties, as well as injunctive relief requiring costly compliance measures."
"exposed","further, we could be exposed to litigation, regulatory enforcement or other legal action as a result of an incident, carrying the potential for damages, fines, sanctions or other penalties, as well as injunctive relief requiring costly compliance measures."
"carrying","further, we could be exposed to litigation, regulatory enforcement or other legal action as a result of an incident, carrying the potential for damages, fines, sanctions or other penalties, as well as injunctive relief requiring costly compliance measures."
"requiring","further, we could be exposed to litigation, regulatory enforcement or other legal action as a result of an incident, carrying the potential for damages, fines, sanctions or other penalties, as well as injunctive relief requiring costly compliance measures."
